"","Naive","Seasonal_Naive","RW_with_drift","ARIMA","SES","ETS","Theta","TBATS","Neural_net"
"1901",0.0524098451323435,0.0524098451323435,0.186235517045553,0.186235517045465,0.0524070961089827,0.176902043374962,0.123110253953093,0.20219237114858,0.119372057166063
"1902",0.912618279371315,0.912618279371315,0.931707333557656,0.912618279371315,0.912533550952035,0.912533550952035,0.933682222477678,0.910822035955284,0.984887512558607
"1903",0.497000791239822,0.497000791239822,0.331393117279431,0.213543930862481,0.489448274697459,0.372472527408579,0.385845338006179,0.227873270589049,0.520698338880504
"1904",0.152207111603802,0.152207111603802,0.023755591581234,0.0531136657926819,0.152214149530792,0.047578888947862,0.0829889320394896,0.0512585567442993,0.0413863325335738
"1905",0.244924595834518,0.244924595834518,0.115161953156108,0.117301168400146,0.244928253334603,0.216413248092012,0.160642119390321,0.120679736023052,0.179037037660614
"1906",0.434064913708733,0.434064913708733,0.325122308799738,0.302176376669606,0.434110675402753,0.343418005357415,0.387745047828359,0.314977513579649,0.184637685142676
"1907",0.179004961510259,0.179004961510259,0.0407083350443217,0.01330147481731,0.179012813069733,0.00585598581309075,0.106744310857985,0.00995967217123982,0.0360211632080565
"1908",0.113094333621929,0.113094333621929,0.0586625909816326,0.0416552822373714,0.113096123002479,0.0294041922782865,0.0245205701922166,0.0255996247137729,0.043787756057816
"1909",0.244975234862939,0.244975234862939,0.526843617295511,0.24570848103996,0.244941183648915,0.306674299058627,0.402305897812097,0.401974615191148,0.390959322825452
"1910",0.559185789846089,0.559185789846089,0.445813680065974,0.385890744726128,0.559204183309934,0.559204172449404,0.514230488894885,0.532710154428929,0.215734550669034
"1911",0.223264191433454,0.223264191433454,0.0876317030672985,0.038259867152387,0.22327857823723,0.0405571936547886,0.152626170981102,0.0467313092773011,0.0830883998940632
"1912",1.41136344387422,1.41136344387422,1.20372874152413,2,1.40425104112835,1.40425104112835,1.44316315641974,1.34890340171977,1.81870417557267
"1913",0.639624457854212,0.639624457854212,0.468291119384648,0.38553216912266,0.639653136488794,0.495720480937398,0.534774231844118,0.424349125373094,0.564111943267042
"1914",0.0610888143916838,0.0610888143916838,0.0563518313040216,0.0610888143916838,0.0610748376497803,0.0610748376497803,0.133179240569633,0.0565091770229247,0.91577607611711
"1915",1.36143632962561,1.36143632962561,1.33363127666749,1.36143632962561,1.36147574564158,1.36147574564158,1.34356585112907,1.33491408250252,1.28066900098627
"1916",0.438989747428367,0.438989747428367,0.278823545008238,0.228231541350066,0.438984298719395,0.182643892239131,0.34972832229751,0.187579864084129,0.40046401458455
"1917",0.104772733093238,0.104772733093238,0.205110708816675,0.178422002076948,0.104680096174802,0.104680050224595,0.129055569588033,0.428846752703785,0.399523423230188
"1918",1.04408430035294,1.04408430035294,0.910866510711977,0.973731683740817,1.04410730334719,1.04410730117887,0.976996850600629,0.678778050821196,1.05910424180575
"1919",0.38215772069956,0.38215772069956,0.229099822749268,0.144978369119871,0.372479214680274,0.157967576918849,0.287771477902136,0.0926590928937139,0.376225719784562
"1920",0.203225861801438,0.203225861801438,0.0560411536393523,0.0560411536393657,0.203234385002558,0.0427221627260964,0.125309725608727,0.051622538912679,0.0880429003727868
"1921",0.384157685681704,0.384157685681704,0.255140949398581,0.13448478013664,0.384173295837241,0.110524483757772,0.321552370343349,0.113498817109071,0.141668446027821
"1922",0.783704504170622,0.783704504170622,0.66500595452452,0.665005954524547,0.783694794233922,0.783694802653476,0.72174732951068,0.690292759173607,0.861860954369152
"1923",0.103986776034002,0.103986776034002,0.278612304218549,0.216102229002414,0.103991305467378,0.278143172177745,0.191637654431077,0.183260994134801,0.177773469279171
"1924",0.516006534247973,0.516006534247973,0.371972893320762,0.371972893320618,0.516018024830155,0.373102296967089,0.432332834338653,0.361711875589017,0.569708660560949
"1925",0.453877620277747,0.453877620277747,0.264668855615265,0.264668855615455,0.453888050592808,0.257759948328481,0.349852828827377,0.350295651322084,0.434977807967774
"1926",0.263167633781134,0.263167633781134,0.138969510134932,0.0124349476986353,0.263182266525116,0.0110668771842609,0.203558773764879,0.0111661917819889,0.0423479426989737
"1927",0.180739838882083,0.180739838882083,0.251504250863396,0.203324836075916,0.188843281875467,0.188843281875467,0.229437856926102,0.193940361065475,0.19112190059309
"1928",0.339822050387427,0.339822050387427,0.179279576280418,0.179279576280475,0.339818664420553,0.16976507794069,0.245731972369968,0.185360293067688,0.303247555125127
"1929",0.617808689009941,0.617808689009941,0.620818168936313,0.617808689009941,0.614900805373083,0.614900805373083,0.61782599912862,0.615191074790239,0.50897926761977
"1930",0.87629219751947,0.87629219751947,0.710418815199289,0.87629219751947,0.876207691643869,0.876207691643869,0.72999964488522,1.04545323216885,0.670782316220599
"1931",0.24313775858255,0.24313775858255,0.106363716597418,0.0503601855505266,0.243149665803354,0.051281753746938,0.170793671068251,0.0621794476779516,0.120269224876626
"1932",0.953562964059214,0.953562964059214,0.756079833282916,0.568055292643331,0.953596062773041,0.953596313183214,0.833046413535891,0.894725913063059,0.657633290111973
"1933",0.398142015009417,0.398142015009417,0.252540170204505,0.252540170204436,0.398154424207217,0.252607173894042,0.318595969548717,0.252182327680218,0.435618629321032
"1934",0.239758389701471,0.239758389701471,0.0981877940104826,0.0942417078244536,0.230491307252357,0.0969637521019812,0.122474935042641,0.0813222251787339,0.14198751656878
"1935",0.18739939603249,0.18739939603249,0.0801719826592543,0.0801719826592566,0.197346148262736,0.197356492342551,0.133083034025367,0.0796726791364318,0.307585464786757
"1936",0.162937184667778,0.162937184667778,0.0420033904790436,0.0297153325786327,0.162946020972932,0.0371869441878949,0.0995698547988439,0.037099932385959,0.0563472118069961
"1937",0.444313963789229,0.444313963789229,0.278172165319243,0.278172165319786,0.444311936746681,0.144677339048177,0.352175234076583,0.244160113329749,0.476549268852454
"1938",0.223562050935558,0.223562050935558,0.0511845534109069,0.0574285974795724,0.223592680970598,0.199936477147095,0.140512490171388,0.208624325049862,0.460248501051492
"1939",0.161725153385828,0.161725153385828,0.0429414200222076,0.0277443535058647,0.161732854203187,0.0402479095089188,0.0917379692223862,0.0353461019988416,0.0532919259539077
"1940",0.249909752335092,0.249909752335092,0.11497602921744,0.0413904375792973,0.249921042770336,0.0415552924804998,0.179951940556111,0.0586857831911242,0.0971230727055713
